Nombre de points, Temps d'exécution (s)
10, 0.000116923
12, 0.000279518
14, 0.000483072
16, 0.000561611
18, 0.00126858
20, 0.00135364
22, 0.00301659
24, 0.00526925
26, 0.00506211
28, 0.00570529
30, 0.00484886
32, 0.00554149
34, 0.00471245
36, 0.00706211
38, 0.0140207
40, 0.0135059
42, 0.014551
44, 0.00988789
46, 0.0168715
48, 0.0187487
50, 0.0267536
52, 0.0207968
54, 0.0210715
56, 0.0362015
58, 0.0507514
60, 0.0278351
62, 0.0402338
64, 0.0365719
66, 0.0404178
68, 0.0381495
70, 0.0572688
72, 0.0577343
74, 0.0553504
76, 0.0698196
78, 0.0672791
80, 0.0564001
82, 0.081636
84, 0.077193
86, 0.0799661
88, 0.0842151
90, 0.0991839
92, 0.0954273
94, 0.110868
96, 0.120717
98, 0.11245
100, 0.115506
