6, 245
8, 305
10, 586
12, 1290
14, 2050
16, 3307
18, 4901
20, 9067
22, 12138
24, 14981
26, 25665
28, 27536
30, 33405
32, 69285
34, 102943
36, 91533
38, 96011
40, 149216
42, 156764
44, 205016
46, 182416
48, 283002
50, 279445
52, 445682
54, 565834
56, 469219
58, 520014
60, 923430
62, 742954
64, 1049087
66, 897062
68, 975802
70, 1053557
72, 1327477
74, 1577491
76, 1492985
78, 1764138
80, 2308610
82, 2777242
84, 2540544
86, 2598990
88, 4949221
90, 3284564
92, 3413082
94, 3365289
96, 4366263
98, 6994506
100, 4776177
